designation,A,r_x,r_y,f_y,k_f,I_y,J,I_w,Z_ex,Z_ey
610UB125,16000,249,49.6,280,0.95,39.300,1560.000,3450.000,3680,515.000
610UB113,14500,246,48.7,280,0.926,34.300,1140.000,2980.000,3290,451.000
610UB101,13000,242,47.5,300,0.888,29.300,790.000,2530.000,2900,386.000
530UB92.4,11800,217,44.9,300,0.928,23.800,775.000,1590.000,2370,342.000
530UB82,10500,213,43.8,300,0.902,20.100,526.000,1330.000,2070,289.000
460UB82.1,10500,188,42.2,300,0.979,18.600,701.000,919.000,1840,292.000
460UB74.6,9520,188,41.8,300,0.948,16.600,530.000,815.000,1660,262.000
460UB67.1,8580,186,41.2,300,0.922,14.500,378.000,708.000,1480,230.000
410UB59.7,7640,168,39.7,300,0.938,12.100,337.000,467.000,1200,203.000
460UB53.7,6890,165,38.6,320,0.913,10.300,234.000,394.000,1060,173.000
360UB56.7,7240,149,39,300,0.996,11.000,338.000,330.000,1010,193.000
360UB50.7,6470,148,38.5,300,0.963,9.600,241.000,284.000,897,168.000
360UB44.7,5720,146,37.6,320,0.93,8.100,161.000,237.000,770,140.000
310UB46.2,5930,130,39,300,0.991,9.010,233.000,197.000,729,163.000
310UB40.4,5210,129,38.3,320,0.952,7.650,157.000,165.000,633,139.000
310UB32,4080,124,32.9,320,0.915,4.420,86.500,92.900,467,86.900
250UB37.3,4750,108,34.5,320,1,5.660,158.000,85.500,486,116.000
250UB31.4,4010,105,33.4,320,1,4.470,89.300,65.900,395,91.400
250UB25.7,3270,104,27.9,320,0.949,2.550,67.400,36.700,319,61.700
200UB29.8,3820,87.3,31.8,320,1,3.860,105.000,37.600,316,86.300
200UB25.4,3230,85.4,30.8,320,1,3.060,62.700,29.200,259,68.800
200UB22.3,2870,85.5,31,320,1,2.750,45.000,26.000,227,60.300
200UB18.2,2320,82.6,22.1,320,0.99,1.140,38.600,10.400,180,34.400
180UB22.2,2820,73.6,20.8,320,1,1.220,81.600,8.710,195,40.700
180UB18.1,2300,72.6,20.6,320,1,0.975,44.800,6.800,157,32.500
180UB16.1,2040,72,20.4,320,1,0.853,31.500,5.880,138,28.400
150UB18.0,2300,62.8,17.1,320,1,0.672,60.500,3.560,135,26.900
150UB14,1780,61.1,16.6,320,1,0.495,28.100,2.530,102,19.800
